## Filter transmission curves for all possible HRC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F220W
# 4	EEERR_F220W
# 5	EE_F250W
# 6	EEERR_F250W
# 7	EE_F330W
# 8	EEERR_F330W
# 9	EE_F334N
# 10	EEERR_F334N
# 11	EE_F435W
# 12	EEERR_F435W
# 13	EE_F475W
# 14	EEERR_F475W
# 15	EE_F502N
# 16	EEERR_F502N
# 17	EE_F550M
# 18	EEERR_F550M
# 19	EE_F555W
# 20	EEERR_F555W
# 21	EE_F606W
# 22	EEERR_F606W
# 23	EE_F625W
# 24	EEERR_F625W
# 25	EE_F658N
# 26	EEERR_F658N
# 27	EE_F660N
# 28	EEERR_F660N
# 29	EE_F775W
# 30	EEERR_F775W
# 31	EE_F814W
# 32	EEERR_F814W
# 33	EE_F850LP
# 34	EEERR_F850LP
# 35	EE_F892N
# 36	EEERR_F892N
##                     F220W            F250W          F330W           F334N           F435W           F475W           F502N           F550M           F555W           F606W           F625W            F658N           F660N            F775W           F814W          F850LP          F892N  
##   pix     asec    ee      std     ee       std   avge    stdev  avge     stdev   avge    stdev   avge    stdev   average stdev   avge    stdev   avge    stdev   avge    stdev   avge     stdev  avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev
   1.000   0.025  23.458   1.435  24.475   1.333  25.009   1.074  23.786   1.099  25.361   0.517  23.003   0.483  23.398   0.480  22.343   0.692  22.232   0.174  22.095   0.647  20.800   0.308  19.747   0.855  20.051   0.735  17.095   0.376  15.786   0.215  10.871   0.291  11.768   0.054
   2.000   0.050  50.648   1.016  53.436   1.010  54.220   0.756  50.780   0.184  53.187   0.311  52.306   0.584  51.416   0.875  50.807   0.271  51.448   0.319  50.507   0.394  48.983   0.288  47.374   0.312  46.786   0.201  43.334   0.111  40.254   0.759  29.387   0.639  32.416   0.250
   3.000   0.075  62.258   0.661  65.498   0.574  67.868   0.513  65.664   0.067  68.685   0.516  67.792   0.158  66.394   0.187  64.646   0.284  65.648   0.279  63.968   0.336  62.035   0.272  59.958   0.140  59.374   0.353  55.983   0.133  53.399   0.133  41.325   0.772  45.292   0.222
   4.000   0.100  68.578   0.749  72.019   0.260  73.578   0.404  73.303   0.816  76.201   0.286  76.398   0.061  76.137   0.106  75.286   0.195  75.892   0.224  74.211   0.372  72.327   0.318  69.691   0.227  69.123   0.377  63.201   0.199  59.932   0.063  46.512   0.701  49.805   0.484
   5.000   0.125  73.298   0.111  76.158   0.184  77.484   0.218  77.062   0.660  79.065   0.137  79.563   0.100  79.430   0.283  80.363   0.098  80.321   0.133  79.891   0.213  79.507   0.218  78.030   0.301  77.259   0.347  72.269   0.234  68.315   0.062  52.558   0.728  56.137   0.519
   6.000   0.150  75.774   0.196  78.805   0.072  80.527   0.045  80.469   0.540  81.343   0.072  81.307   0.204  81.217   0.221  81.932   0.048  81.831   0.210  81.760   0.220  81.644   0.317  80.743   0.455  80.243   0.313  77.874   0.174  74.215   0.019  59.200   0.768  63.129   0.583
   7.000   0.175  77.089   0.094  80.337   0.083  82.468   0.219  82.944   0.370  83.682   0.083  83.306   0.203  82.943   0.254  83.302   0.051  83.459   0.148  83.236   0.141  82.923   0.174  82.042   0.322  81.582   0.130  79.846   0.141  76.586   0.071  63.364   0.658  66.937   0.581
   8.000   0.200  78.218   0.163  81.409   0.099  83.719   0.259  84.294   0.356  85.809   0.036  85.283   0.252  84.832   0.265  84.649   0.103  85.163   0.135  84.727   0.119  84.168   0.131  83.148   0.323  82.639   0.108  80.541   0.199  77.534   0.094  65.386   0.541  68.319   0.586
   9.000   0.225  79.127   0.168  82.316   0.147  84.578   0.264  85.124   0.351  87.030   0.083  86.813   0.294  86.717   0.304  86.309   0.102  86.936   0.132  86.282   0.120  85.457   0.117  84.353   0.339  83.802   0.109  81.421   0.160  78.157   0.198  66.511   0.479  69.071   0.576
  10.000   0.250  80.108   0.174  82.990   0.152  85.279   0.260  85.785   0.348  87.537   0.206  87.732   0.326  88.108   0.139  87.931   0.097  88.324   0.113  87.634   0.116  86.862   0.120  85.461   0.338  84.869   0.116  82.405   0.143  79.045   0.175  67.374   0.454  69.703   0.570
  11.000   0.275  81.129   0.171  83.679   0.159  85.832   0.259  86.306   0.351  88.072   0.191  88.306   0.332  88.732   0.143  88.787   0.031  89.045   0.042  88.680   0.129  88.193   0.114  86.940   0.351  86.342   0.117  83.199   0.066  79.915   0.170  68.291   0.446  70.486   0.577
  12.000   0.300  82.078   0.171  84.429   0.159  86.317   0.258  86.741   0.354  88.735   0.069  88.794   0.318  89.145   0.139  89.401   0.114  89.626   0.110  89.391   0.149  89.119   0.106  88.154   0.358  87.531   0.131  84.375   0.144  80.903   0.176  69.200   0.442  71.311   0.590
  13.000   0.325  82.884   0.171  85.187   0.162  86.784   0.259  87.168   0.355  89.180   0.062  89.252   0.305  89.554   0.130  89.775   0.116  90.020   0.105  89.861   0.160  89.663   0.120  88.802   0.371  88.101   0.132  85.508   0.155  81.948   0.178  70.021   0.434  71.954   0.594
  14.000   0.350  83.581   0.174  85.875   0.170  87.260   0.264  87.588   0.358  89.535   0.059  89.663   0.299  90.048   0.120  90.129   0.109  90.426   0.098  90.256   0.162  90.027   0.133  89.610   0.139  88.481   0.143  86.262   0.061  82.826   0.176  70.943   0.430  72.797   0.594
  15.000   0.375  84.213   0.176  86.455   0.178  87.784   0.266  88.031   0.362  89.858   0.056  90.025   0.299  90.413   0.110  90.471   0.039  90.819   0.094  90.611   0.157  90.348   0.134  89.915   0.137  88.771   0.142  86.958   0.124  83.495   0.158  71.960   0.428  73.915   0.612
  16.000   0.400  84.808   0.179  86.949   0.184  88.331   0.262  88.552   0.360  90.185   0.056  90.335   0.297  90.673   0.109  90.882   0.029  91.161   0.091  90.937   0.152  90.689   0.127  90.163   0.138  89.039   0.140  87.346   0.124  83.982   0.146  72.825   0.422  74.758   0.617
  17.000   0.425  85.387   0.184  87.385   0.188  88.829   0.263  89.092   0.357  90.505   0.060  90.627   0.296  90.943   0.109  91.159   0.036  91.439   0.089  91.245   0.146  91.036   0.121  90.451   0.140  89.345   0.135  87.650   0.128  84.345   0.137  73.496   0.412  75.254   0.619
  18.000   0.450  85.946   0.186  87.783   0.188  89.231   0.270  89.531   0.354  90.826   0.063  90.918   0.297  91.214   0.106  91.382   0.043  91.689   0.088  91.536   0.140  91.356   0.119  90.853   0.143  89.781   0.124  87.922   0.129  84.654   0.135  74.035   0.404  75.645   0.626
  19.000   0.475  86.482   0.184  88.169   0.189  89.541   0.275  89.857   0.343  91.147   0.062  91.213   0.298  91.523   0.101  91.615   0.045  91.944   0.088  91.807   0.140  91.631   0.120  91.184   0.146  90.129   0.120  88.222   0.124  84.970   0.136  74.493   0.399  75.999   0.632
  20.000   0.500  86.985   0.179  88.556   0.189  89.809   0.277  90.109   0.339  91.477   0.066  91.518   0.300  91.775   0.098  91.866   0.043  92.197   0.091  92.047   0.140  91.859   0.122  91.397   0.140  90.327   0.119  88.562   0.121  85.319   0.137  74.919   0.394  76.359   0.629
  21.000   0.525  87.484   0.177  88.939   0.186  90.051   0.273  90.324   0.340  91.803   0.067  91.813   0.303  91.963   0.096  92.132   0.036  92.436   0.094  92.272   0.142  92.072   0.123  91.571   0.136  90.497   0.120  88.898   0.117  85.669   0.135  75.323   0.392  76.741   0.621
  22.000   0.550  87.987   0.177  89.309   0.181  90.284   0.270  90.527   0.335  92.107   0.069  92.093   0.307  92.199   0.096  92.369   0.035  92.670   0.096  92.499   0.144  92.295   0.123  91.783   0.133  90.713   0.122  89.201   0.118  85.991   0.134  75.733   0.391  77.084   0.616
  23.000   0.575  88.488   0.177  89.667   0.175  90.507   0.269  90.743   0.333  92.361   0.072  92.358   0.312  92.464   0.099  92.551   0.040  92.910   0.098  92.737   0.144  92.515   0.124  91.983   0.133  90.915   0.122  89.458   0.118  86.287   0.133  76.177   0.389  77.465   0.616
  24.000   0.600  88.991   0.178  90.025   0.169  90.734   0.270  90.969   0.332  92.557   0.072  92.601   0.317  92.784   0.100  92.742   0.046  93.156   0.098  92.978   0.147  92.721   0.127  92.194   0.139  91.131   0.123  89.690   0.116  86.569   0.132  76.637   0.388  77.963   0.610
  25.000   0.625  89.484   0.178  90.379   0.164  90.967   0.272  91.183   0.324  92.720   0.071  92.818   0.318  93.083   0.099  92.969   0.045  93.400   0.099  93.207   0.147  92.922   0.130  92.451   0.145  91.407   0.124  89.911   0.116  86.837   0.127  77.078   0.386  78.427   0.606
  26.000   0.650  89.971   0.180  90.727   0.160  91.202   0.273  91.415   0.320  92.868   0.068  93.001   0.319  93.282   0.099  93.236   0.039  93.637   0.100  93.427   0.149  93.117   0.133  92.644   0.145  91.602   0.126  90.132   0.116  87.092   0.124  77.483   0.383  78.774   0.607
  27.000   0.675  90.453   0.182  91.070   0.158  91.437   0.273  91.670   0.325  93.012   0.067  93.155   0.321  93.447   0.099  93.502   0.035  93.849   0.099  93.630   0.153  93.311   0.134  92.780   0.144  91.723   0.125  90.371   0.119  87.351   0.122  77.861   0.379  79.078   0.608
  28.000   0.700  90.938   0.184  91.410   0.157  91.665   0.269  91.916   0.325  93.149   0.067  93.293   0.321  93.592   0.096  93.722   0.041  94.031   0.099  93.818   0.154  93.510   0.133  92.923   0.144  91.850   0.125  90.606   0.119  87.611   0.120  78.223   0.374  79.381   0.604
  29.000   0.725  91.423   0.185  91.750   0.160  91.881   0.265  92.125   0.320  93.281   0.068  93.418   0.323  93.724   0.092  93.895   0.051  94.181   0.099  93.991   0.156  93.707   0.133  93.118   0.145  92.037   0.127  90.821   0.120  87.861   0.118  78.575   0.374  79.706   0.603
  30.000   0.750  91.900   0.187  92.082   0.164  92.091   0.262  92.315   0.322  93.413   0.066  93.539   0.324  93.839   0.089  94.041   0.058  94.303   0.099  94.148   0.156  93.896   0.135  93.300   0.147  92.222   0.129  91.018   0.122  88.095   0.114  78.926   0.374  80.051   0.605
  31.000   0.775  92.366   0.189  92.418   0.168  92.310   0.260  92.510   0.326  93.552   0.067  93.658   0.325  93.924   0.088  94.172   0.061  94.415   0.100  94.294   0.158  94.066   0.137  93.507   0.153  92.432   0.127  91.217   0.122  88.324   0.114  79.285   0.367  80.373   0.602
  32.000   0.800  92.793   0.188  92.758   0.171  92.535   0.259  92.710   0.327  93.694   0.069  93.777   0.324  94.010   0.088  94.292   0.059  94.522   0.099  94.426   0.158  94.220   0.138  93.754   0.156  92.676   0.123  91.414   0.122  88.552   0.111  79.654   0.357  80.697   0.597
  33.000   0.825  93.195   0.188  93.107   0.174  92.761   0.257  92.920   0.321  93.834   0.068  93.895   0.322  94.107   0.090  94.396   0.057  94.623   0.097  94.549   0.157  94.360   0.138  93.921   0.153  92.840   0.122  91.605   0.123  88.782   0.108  80.015   0.348  81.080   0.596
  34.000   0.850  93.564   0.187  93.311   0.116  92.982   0.256  93.146   0.313  93.975   0.070  94.016   0.320  94.215   0.088  94.485   0.056  94.718   0.094  94.659   0.158  94.478   0.139  94.045   0.147  92.954   0.122  91.802   0.125  89.009   0.106  80.362   0.346  81.454   0.596
  35.000   0.875  93.902   0.187  93.637   0.117  93.198   0.256  93.359   0.305  94.110   0.071  94.135   0.320  94.318   0.086  94.563   0.057  94.810   0.089  94.756   0.160  94.580   0.142  94.150   0.140  93.060   0.121  92.003   0.126  89.238   0.106  80.699   0.344  81.753   0.593
